id,begin_date,end_date,type,paperless_billing,payment_method,monthly_charges,total_charges,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,gender,senior_citizen,partner,dependents,multiple_lines,target
102,2014-04-01,,Two year,No,Credit card (automatic),114.75,7842.3,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,0
103,2017-07-01,,Month-to-month,Yes,Electronic check,76.05,2227.8,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,0
104,2015-07-01,2019-11-01,Two year,Yes,Bank transfer (automatic),96.25,4990.25,Fiber optic,No,No,Yes,Yes,No,Yes,Male,0,Yes,Yes,Yes,1
105,2016-10-01,2019-11-01,Month-to-month,Yes,Electronic check,101.1,3744.05,Fiber optic,No,No,Yes,No,Yes,Yes,Male,1,No,No,Yes,1
106,2014-03-01,2019-12-01,One year,Yes,Bank transfer (automatic),104.7,7220.35,Fiber optic,No,Yes,No,Yes,Yes,Yes,Male,0,No,No,Yes,1
107,2017-08-01,,Month-to-month,No,Mailed check,77.9,2351.45,Fiber optic,No,No,No,No,No,No,Male,1,Yes,No,Yes,0
108,2017-05-01,,Month-to-month,Yes,Electronic check,90.65,2989.6,Fiber optic,Yes,No,No,No,No,Yes,Female,0,No,No,Yes,0
109,2015-08-01,,Two year,Yes,Electronic check,110.45,6077.75,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Male,1,Yes,No,Yes,0
110,2015-03-01,,One year,No,Bank transfer (automatic),68.7,4070.95,DSL,Yes,No,No,Yes,No,Yes,Female,0,No,No,Yes,0
111,2015-07-01,,Month-to-month,Yes,Electronic check,44.85,2479.05,DSL,Yes,Yes,No,No,Yes,No,Male,1,No,No,No,0
112,2014-05-01,,One year,Yes,Credit card (automatic),29.8,2134.3,DSL,No,No,Yes,No,No,No,Male,1,Yes,No,No,0
113,2014-08-01,,One year,Yes,Bank transfer (automatic),88.9,6000.1,Fiber optic,No,Yes,No,No,Yes,No,Female,0,No,No,Yes,0
114,2017-01-01,,One year,Yes,Mailed check,58.75,2203.1,DSL,Yes,No,Yes,Yes,No,No,Male,0,Yes,Yes,No,0
115,2019-05-01,,One year,No,Credit card (automatic),19.85,183.15,Fiber optic,No,No,No,No,No,No,Male,1,Yes,No,No,0
116,2014-05-01,,Two year,No,Bank transfer (automatic),86.9,6194.1,DSL,Yes,No,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,0
117,2019-04-01,,Month-to-month,Yes,Mailed check,59.65,638.95,DSL,No,Yes,No,No,Yes,No,Male,0,No,No,No,0
118,2016-07-01,2019-11-01,Month-to-month,Yes,Mailed check,55.25,2139.2,DSL,Yes,Yes,No,No,No,No,Male,0,No,Yes,No,1
119,2019-01-01,,Month-to-month,No,Credit card (automatic),66.4,831.75,DSL,No,No,No,No,Yes,Yes,Male,0,No,Yes,No,0
120,2019-05-01,2019-11-01,Month-to-month,Yes,Electronic check,90.1,521.3,Fiber optic,No,Yes,No,No,Yes,No,Female,0,No,No,Yes,1
121,2014-05-01,,Two year,No,Bank transfer (automatic),20.15,1337.5,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
122,2014-08-01,,One year,Yes,Credit card (automatic),108.1,7181.95,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Female,1,Yes,No,Yes,0
123,2018-11-01,2019-10-01,Month-to-month,No,Electronic check,53.75,608.0,DSL,No,No,Yes,No,No,No,Male,0,No,No,Yes,1
124,2016-04-01,,One year,No,Mailed check,56.9,2560.1,DSL,Yes,No,Yes,Yes,No,No,Male,0,Yes,Yes,No,0
125,2019-06-01,2019-12-01,Month-to-month,No,Electronic check,89.3,577.6,Fiber optic,No,No,No,No,Yes,Yes,Female,0,No,No,No,1
126,2015-06-01,,Month-to-month,Yes,Mailed check,109.6,5953.0,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,0
127,2014-04-01,,Two year,No,Credit card (automatic),25.15,1790.15,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,Yes,0
128,2017-05-01,,One year,Yes,Electronic check,79.15,2531.4,DSL,No,No,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,0
129,2014-02-01,,Two year,No,Credit card (automatic),66.75,4760.3,DSL,Yes,Yes,No,Yes,No,No,Female,0,Yes,Yes,Yes,0
130,2019-10-01,2020-01-01,Month-to-month,Yes,Electronic check,95.2,292.85,Fiber optic,No,No,No,No,Yes,Yes,Female,0,Yes,No,Yes,1
131,2018-07-01,,Month-to-month,No,Mailed check,48.8,953.65,DSL,No,No,No,Yes,No,No,Female,0,No,Yes,No,0
132,2019-06-01,2019-11-01,Month-to-month,No,Electronic check,45.7,198.0,DSL,No,No,No,No,Yes,Yes,Female,1,No,No,No,1
133,2014-03-01,,Two year,Yes,Credit card (automatic),80.7,5705.05,DSL,No,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,No,No,0
134,2019-04-01,2019-12-01,Month-to-month,Yes,Electronic check,74.5,609.9,Fiber optic,Yes,No,No,No,No,No,Male,0,Yes,No,No,1
135,2020-01-01,,Month-to-month,No,Credit card (automatic),20.55,20.55,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
136,2019-10-01,2019-11-01,Month-to-month,Yes,Electronic check,79.65,79.65,Fiber optic,No,No,No,No,Yes,No,Female,0,No,No,No,1
137,2015-01-01,,One year,Yes,Mailed check,115.1,6993.65,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,Yes,0
138,2014-03-01,,Two year,No,Bank transfer (automatic),59.7,4122.65,DSL,Yes,Yes,No,Yes,Yes,Yes,Female,0,Yes,Yes,No,0
139,2014-06-01,,One year,No,Credit card (automatic),86.45,5762.95,Fiber optic,No,Yes,Yes,No,No,No,Female,0,Yes,No,Yes,0
140,2016-04-01,,One year,No,Credit card (automatic),33.7,1537.85,DSL,No,No,Yes,Yes,No,No,Male,0,No,No,No,0
141,2017-05-01,,One year,No,Bank transfer (automatic),80.1,2603.3,Fiber optic,Yes,No,No,No,No,No,Male,0,No,No,Yes,0
142,2015-09-01,,Two year,Yes,Bank transfer (automatic),104.05,5566.4,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Female,0,Yes,Yes,Yes,0
143,2015-12-01,,Month-to-month,No,Bank transfer (automatic),108.75,5431.9,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Female,1,Yes,No,Yes,0
144,2015-05-01,,One year,Yes,Credit card (automatic),41.1,2258.25,DSL,Yes,No,Yes,Yes,No,No,Female,0,No,No,No,0
145,2015-08-01,,Two year,Yes,Bank transfer (automatic),20.35,1092.35,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
146,2015-02-01,,Month-to-month,Yes,Electronic check,105.9,6401.25,Fiber optic,No,Yes,Yes,No,Yes,Yes,Female,1,Yes,No,Yes,0
147,2017-09-01,2020-01-01,Month-to-month,Yes,Credit card (automatic),101.3,2812.2,Fiber optic,No,No,No,Yes,Yes,Yes,Female,1,Yes,No,Yes,1
148,2019-12-01,2020-01-01,Month-to-month,Yes,Mailed check,80.05,80.05,Fiber optic,No,No,No,No,Yes,No,Female,0,Yes,Yes,No,1
149,2017-07-01,2019-12-01,Month-to-month,Yes,Electronic check,89.2,2698.35,Fiber optic,No,No,Yes,No,No,Yes,Male,0,Yes,Yes,Yes,1
150,2019-04-01,,Month-to-month,Yes,Electronic check,65.5,616.9,DSL,No,Yes,No,Yes,No,Yes,Female,0,Yes,Yes,No,0
151,2016-07-01,,Month-to-month,Yes,Electronic check,40.45,1912.85,DSL,Yes,Yes,Yes,No,No,No,Male,0,No,Yes,No,0
293,2017-12-01,,Month-to-month,No,Electronic check,45.45,1233.15,DSL,No,No,No,No,No,No,Male,0,No,No,No,0
152,2019-01-01,,Month-to-month,No,Bank transfer (automatic),70.45,849.1,Fiber optic,No,No,No,No,No,No,Male,1,Yes,No,No,0
153,2016-07-01,,Two year,Yes,Electronic check,78.8,3460.3,DSL,Yes,No,Yes,Yes,Yes,Yes,Female,0,Yes,No,No,0
154,2018-06-01,2020-01-01,Month-to-month,Yes,Electronic check,83.65,1465.75,Fiber optic,No,No,No,No,No,Yes,Male,0,Yes,Yes,Yes,1
155,2020-01-01,,Month-to-month,Yes,Electronic check,90.1,90.1,Fiber optic,No,No,No,No,Yes,Yes,Male,0,Yes,Yes,No,0
156,2014-05-01,,Two year,Yes,Credit card (automatic),82.45,5555.3,DSL,Yes,No,Yes,Yes,Yes,Yes,Female,0,No,No,No,0
157,2015-01-01,,Two year,No,Credit card (automatic),20.25,1278.8,Fiber optic,No,No,No,No,No,No,Female,0,Yes,No,No,0
158,2016-07-01,,Month-to-month,No,Bank transfer (automatic),66.25,2907.35,DSL,Yes,Yes,No,Yes,No,No,Male,0,Yes,No,Yes,0
159,2019-11-01,,One year,No,Mailed check,19.6,61.35,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
160,2019-07-01,2020-01-01,Month-to-month,No,Bank transfer (automatic),19.5,146.3,Fiber optic,No,No,No,No,No,No,Female,0,Yes,No,No,1
161,2019-11-01,2019-12-01,Month-to-month,No,Mailed check,51.25,51.25,DSL,No,No,No,Yes,No,No,Male,0,No,No,No,1
162,2015-06-01,,Month-to-month,No,Mailed check,89.7,4952.95,Fiber optic,No,No,No,No,Yes,Yes,Male,0,Yes,No,No,0
163,2014-04-01,,Two year,No,Bank transfer (automatic),64.55,4504.9,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,No,No,0
164,2019-09-01,2019-10-01,Month-to-month,Yes,Electronic check,45.6,45.6,DSL,No,No,No,No,No,No,Male,0,No,No,No,1
165,2016-01-01,,One year,Yes,Electronic check,93.65,4520.15,Fiber optic,No,Yes,Yes,No,Yes,No,Male,0,Yes,Yes,Yes,0
166,2019-06-01,2019-12-01,Month-to-month,Yes,Bank transfer (automatic),49.65,267.35,DSL,No,No,No,Yes,No,No,Female,0,No,No,No,1
167,2017-06-01,,Two year,No,Mailed check,73.6,2316.85,DSL,Yes,Yes,Yes,Yes,No,Yes,Female,0,Yes,Yes,No,0
168,2014-02-01,,Two year,Yes,Mailed check,109.75,8075.35,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Female,1,Yes,No,Yes,0
169,2017-01-01,,Two year,No,Credit card (automatic),61.45,2302.35,DSL,Yes,Yes,No,Yes,No,No,Male,0,No,Yes,No,0
170,2014-05-01,,One year,Yes,Credit card (automatic),106.4,7251.9,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Female,0,Yes,No,No,0
171,2017-12-01,,Month-to-month,No,Bank transfer (automatic),81.9,2078.55,DSL,No,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,No,No,0
